x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-9.716156782896653e-06,-2.615633857573551e-06,3051722865.8436503,-57194642787.14253,23569990844.276142,104375818787.68672,143270397263.32376,-37115943582.35942,-141185192885.91388,175898965357.29532,-733487303018.0852,-234444318010.17337,-1359877273481.6785,-378151159781.4228,-1081468610301.0076,-2626158270046.496,-3128193401827.071,3295255225436.352
-3.886462785431245e-05,-1.0462534337811186e-05,3052196303.290352,-57194617524.039566,23569652565.012604,104375895176.81613,143270471224.32623,-37115658086.00859,-141185379184.23074,175898815824.90442,-733487263653.7738,-234444441166.1291,-1359877247913.239,-378151251728.6087,-1081468547961.048,-2626158295718.485,-3128193440814.4443,3295255188425.548
-8.744541465982467e-05,-2.3540699255769683e-05,3052669740.5267496,-57194592256.995834,23569314285.499992,104375971564.84262,143270545184.7566,-37115372589.50952,-141185565482.3884,175898666292.31503,-733487224289.4417,-234444564322.07816,-1359877222344.7935,-378151343675.79297,-1081468485621.088,-2626158321390.4727,-3128193479801.8174,3295255151414.7427
-0.00015545851864502545,-4.185012642648784e-05,3053143177.5527782,-57194566986.011314,23568976005.73831,104376047951.76616,143270619144.61475,-37115087092.86226,-141185751780.38675,175898516759.5272,-733487184925.0887,-234444687478.02063,-1359877196776.3418,-378151435622.9755,-1081468423281.1273,-2626158347062.458,-3128193518789.1904,3295255114403.937
-0.00024290394125552186,-6.539081366498643e-05,3053616614.3684363,-57194541711.08602,23568637725.727562,104376124337.58675,143270693103.90073,-37114801596.06676,-141185938078.2258,175898367226.54092,-733487145560.7147,-234444810633.9564,-1359877171207.8833,-378151527570.1562,-1081468360941.166,-2626158372734.4424,-3128193557776.563,3295255077393.131
-0.0003497816839369357,-9.416275878626822e-05,3054090050.973693,-57194516432.21998,23568299445.46775,104376200722.30446,143270767062.61456,-37114516099.123055,-141186124375.9056,175898217693.35623,-733487106196.32,-234444933789.8855,-1359877145639.4192,-378151619517.3352,-1081468298601.2042,-2626158398406.426,-3128193596763.9355,3295255040382.324
-0.0004760917481349037,-0.00012816595960531802,3054563487.368545,-57194491149.41316,23567961164.958874,104376277105.9192,143270841020.7562,-37114230602.03112,-141186310673.42612,175898068159.973,-733487066831.9044,-234445056945.808,-1359877120070.9487,-378151711464.5125,-1081468236261.2417,-2626158424078.4067,-3128193635751.3076,3295255003371.516
-0.0006218341352950772,-0.00016740041393710262,3055036923.5528984,-57194465862.66558,23567622884.20094,104376353488.43097,143270914978.3256,-37113945104.79098,-141186496970.78738,175897918626.39133,-733487027467.4681,-234445180101.72385,-1359877094502.4714,-378151803411.6879,-1081468173921.2788,-2626158449750.387,-3128193674738.6797,3295254966360.708
-0.0007870088468631229,-0.00021186611959657083,3055510359.5267835,-57194440571.977234,23567284603.193954,104376429869.83983,143270988935.32285,-37113659607.40262,-141186683267.98938,175897769092.6112,-733486988103.0111,-234445303257.63303,-1359877068933.988,-378151895358.86163,-1081468111581.3152,-2626158475422.3657,-3128193713726.052,3295254929349.8994
-0.0009716158842847218,-0.00026156307439865345,3055983795.2901363,-57194415277.34812,23566946321.937916,104376506250.14575,143271062891.748,-37113374109.86604,-141186869565.0321,175897619558.6326,-733486948738.5333,-234445426413.5356,-1359877043365.4988,-378151987306.03375,-1081468049241.351,-2626158501094.343,-3128193752713.423,3295254892339.091
