x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-3.5787497349871495e-07,-9.634157712696933e-08,3051340289.97553,-57194663198.8923,23570264201.074825,104375757058.29158,143270337496.43906,-37116174286.37301,-141185042341.70306,175899086191.40552,-733487334827.6145,-234444218490.20425,-1359877294143.0374,-378151085480.66473,-1081468660676.7323,-2626158249301.4526,-3128193370322.124,3295255255344.069
-3.9653736685716114e-07,-1.0674966979626484e-07,3051345072.174729,-57194662943.761314,23570260784.115845,104375757829.91347,143270338243.52744,-37116171402.57343,-141185044223.50635,175899084680.97995,-733487334429.9955,-234444219734.2039,-1359877293884.7703,-378151086409.4242,-1081468660047.0358,-2626158249560.7656,-3128193370715.936,3295255254970.222
-4.371824470697821e-07,-1.1769151078448003e-07,3051349854.373906,-57194662688.62992,23570257367.15684,104375758601.53523,143270338990.61575,-37116168518.77384,-141185046105.3096,175899083170.55435,-733487334032.3765,-234444220978.20352,-1359877293626.5032,-378151087338.18365,-1081468659417.3392,-2626158249820.0786,-3128193371109.748,3295255254596.3755
-4.798102141380677e-07,-1.291671000893631e-07,3051354636.573062,-57194662433.49812,23570253950.19781,104375759373.15689,143270339737.704,-37116165634.974236,-141185047987.11285,175899081660.12872,-733487333634.7574,-234444222222.20316,-1359877293368.236,-378151088266.9431,-1081468658787.6427,-2626158250079.3916,-3128193371503.56,3295255254222.529
-5.244206680635077e-07,-1.4117643770866222e-07,3051359418.7721963,-57194662178.36593,23570250533.238754,104375760144.77844,143270340484.7922,-37116162751.174614,-141185049868.91608,175899080149.7031,-733487333237.1384,-234444223466.2028,-1359877293109.969,-378151089195.7026,-1081468658157.9462,-2626158250338.7046,-3128193371897.372,3295255253848.682
-5.71013808847592e-07,-1.5371952364012558e-07,3051364200.971309,-57194661923.23333,23570247116.279675,104375760916.39987,143270341231.88034,-37116159867.37498,-141185051750.7193,175899078639.27744,-733487332839.5194,-234444224710.20242,-1359877292851.702,-378151090124.46204,-1081468657528.2496,-2626158250598.0176,-3128193372291.184,3295255253474.8354
-6.195896364918104e-07,-1.667963578815014e-07,3051368983.1704006,-57194661668.10033,23570243699.320568,104375761688.0212,143270341978.9684,-37116156983.575325,-141185053632.5225,175899077128.85175,-733487332441.9004,-234444225954.20206,-1359877292593.4348,-378151091053.2215,-1081468656898.5531,-2626158250857.3306,-3128193372684.996,3295255253100.989
-6.701481509976527e-07,-1.8040694043053785e-07,3051373765.3694706,-57194661412.96693,23570240282.361435,104375762459.64241,143270342726.05643,-37116154099.775665,-141185055514.32568,175899075618.42606,-733487332044.2814,-234444227198.2017,-1359877292335.1677,-378151091981.98096,-1081468656268.8566,-2626158251116.6436,-3128193373078.808,3295255252727.142
-7.226893523666087e-07,-1.945512712849831e-07,3051378547.568519,-57194661157.83312,23570236865.40228,104375763231.2635,143270343473.14438,-37116151215.97599,-141185057396.12885,175899074108.00034,-733487331646.6624,-234444228442.20132,-1359877292076.9006,-378151092910.7404,-1081468655639.16,-2626158251375.9565,-3128193373472.62,3295255252353.2954
-7.772132406001682e-07,-2.0922935044258538e-07,3051383329.767546,-57194660902.69891,23570233448.443096,104375764002.88449,143270344220.23227,-37116148332.1763,-141185059277.932,175899072597.5746,-733487331249.0433,-234444229686.20096,-1359877291818.6335,-378151093839.4999,-1081468655009.4635,-2626158251635.2695,-3128193373866.432,3295255251979.4487
